DAE,DOY,Pot Green Canopy Cover,Pot crop Transpiration (mm/day),Pot Biomass (kg/ha),Green Canopy Cover,Biomass (kg/ha),Transpiration (mm),Soil Evap (mm),Root Depth (m),Height (m),Max N Conc (kg/kg),Crit N Conc (kg/kg),Min N Conc (kg/kg),Crop N Conc (kg/kg),Crop N Mass (kg/ha),N Uptake (kg/ha),Crop WSI (0-1),Crop NSI (0-1),PAW Depletion Profile (0-1),Water Top 50 cm (m/m),Water Mid 50 cm (m/m),Water bottom 50 cm (m/m),N Mass Top 50 cm (kg/ha),N Mass Mid 50 cm (kg/ha),N Mass bottom 50 cm (kg/ha),N Leaching (kg/ha),Soil N Mass down to 150 cm (kg/ha),N Uptake Rate (kg/ha/day)
1,145,0.028665017299829,0.09188929608176433,9.7463316566811,0.028665017299829,4.561739322007976,0.04300849078129552,0.04137797468440967,0.21666349480736347,0.022217993076484612,0.055,0.034,0.0248,0.05500000000000001,0.2508956627104387,0.2508956627104387,0.5319532022203546,0,0.9704254764944463,,,,5211.844474519201,40.07833424758999,0.0,0.0,5251.922808766791,0.2508956627104387
2,146,0.030315486196296426,0.13160710444967183,22.86754687589604,0.029437513981655485,9.432192648481207,0.04885113527562162,0.33853044492907236,0.21814906534933748,0.024198753799116623,0.055,0.034,0.0248,0.05499999999999999,0.5187705956664663,0.5187705956664663,0.6177401070082205,0,0.9718772243980095,,,,5211.600340422874,40.083564615545214,0.0,0.0,5251.68390503842,0.26787493295602766
3,147,0.03227538060578317,0.14985862657522697,36.0652728963296,0.030186703008901077,13.772419467239516,0.04928276500641581,0.2525678167610216,0.21958981347865592,0.026119751304874553,0.055,0.034,0.0248,0.055,0.7574830706981733,0.7574830706981733,0.6483836930184805,0,0.9733132727436485,,,,5211.383443984691,40.08941906361082,0.0,0.0,5251.472863048302,0.23871247503170698
4,148,0.03460066072559047,0.12931996946189436,48.45536456387677,0.031004309417325262,17.993578725733123,0.04405780046260564,0.14738138342209595,0.22116213349485628,0.028216177993141696,0.055,0.034,0.0248,0.055,0.9896468299153217,0.9896468299153217,0.6197934906762937,0,0.9745640788289895,,,,5211.17270654795,40.09638334854025,0.0,0.0,5251.26908989649,0.23216375921714835
5,149,0.03735656318953183,0.23950226574888595,66.01090935442255,0.03205212147317701,21.94601054905605,0.053921219090485084,0.20715853874922355,0.22317715667918656,0.030902875572248734,0.055,0.034,0.0248,0.055,1.207030580198083,1.207030580198083,0.7376021873579763,0,0.976069233631535,,,,5210.976208156386,40.104352327853654,0.0,0.0,5251.08056048424,0.21738375028276122
6,150,0.04061879137214178,0.19268539157159753,81.37350042118565,0.032908123012633024,25.698105862962834,0.0470606782171163,0.10830163793068352,0.22482331348583273,0.033097751314443646,0.055,0.034,0.0248,0.05500000000000001,1.413395822462956,1.413395822462956,0.6985375138460541,0,0.9773449457934301,,,,5210.790394156282,40.112024060966775,0.0,0.0,5250.902418217249,0.20636524226487304
7,151,0.044474710980931975,0.15983099258772426,98.32613722656914,0.034070538124308665,30.070901039599217,0.041227108295192216,0.06621892133039574,0.22705872716213205,0.03607830288284273,0.055,0.034,0.0248,0.055,1.653899557177957,1.653899557177957,0.6632899967114225,0,0.9784118753517961,,,,5210.568482699278,40.117769151226746,0.0,0.0,5250.686251850505,0.24050373471500106
8,152,0.049024475805654694,0.3150128973487099,125.28926368305757,0.0356024894534033,34.52100525390054,0.05199101166227789,4.640247803146803,0.230004787410391,0.04000638321385462,0.055,0.034,0.0248,0.055,1.8986552889645296,1.8986552889645296,0.7727350167494119,0,0.9797362206513169,,,,5210.389400604171,40.12313522626351,0.0,0.0,5250.512535830435,0.24475573178657273
9,153,0.05438197324473909,0.34709294423454723,152.6771568249734,0.03682006101916189,38.52762441437316,0.05077678789050914,4.143814396400785,0.23234627119069595,0.04312836158759458,0.055,0.034,0.0248,0.055,2.1190193427905237,2.1190193427905237,0.783932276192745,0,0.9809968108688957,,,,5210.192763300928,40.12777914983605,0.0,0.0,5250.320542450764,0.22036405382599386
10,154,0.06067543488468255,0.22590222850503372,176.63770647413276,0.03817987495057275,42.80931344573338,0.040368151320091625,0.21887706927130973,0.23496129798187068,0.046615063975827556,0.055,0.034,0.0248,0.055,2.3545122395153357,2.3545122395153357,0.7160141233108874,0,0.9819263030089231,,,,5209.980104286907,40.13373746416471,0.0,0.0,5250.113841751071,0.23549289672481222
11,155,0.06804750444322925,0.3286694464607972,208.038927813908,0.04027343858716975,47.16978381324034,0.04564005222885639,1.8769369880414806,0.23898738189840338,0.05198317586453782,0.055,0.034,0.0248,0.055,2.594338109728219,2.594338109728219,0.7653717559951038,0,0.9829261748420054,,,,5209.773761693531,40.1387233740317,0.0,0.0,5249.912485067563,0.23982587021288296
12,156,0.07665449647131001,0.5178969417842881,248.13472654285144,0.04229288201288248,51.15355961165286,0.051456396135158594,3.792066555611685,0.24287092694785092,0.05716123593046789,0.055,0.034,0.0248,0.055,2.813445778640907,2.813445778640907,0.8199196301041543,0,0.9840352346912222,,,,5209.578540989952,40.144111534354714,0.0,0.0,5249.722652524307,0.21910766891268843
13,157,0.08666452055753783,0.6428340812355369,291.9185164794004,0.04409549085299671,54.70902284561884,0.05220134996731634,0.42269690257571574,0.24633748240960907,0.06178330987947874,0.055,0.034,0.0248,0.055,3.008996256509036,3.008996256509036,0.8404010616896801,0,0.9851232765050028,,,,5209.403121747375,40.14998525412492,0.0,0.0,5249.5531070014995,0.19555047786812904
14,158,0.09825409874709504,0.7189129587701508,345.4819175745484,0.04594517522751448,58.52097740516208,0.05116298582740374,1.7488020408044438,0.24989456774522015,0.06652609032696019,0.055,0.034,0.0248,0.055,3.2186537572839145,3.2186537572839145,0.8478085223452583,0,0.9861311709557445,,,,5209.219091715224,40.15601724387766,0.0,0.0,5249.375108959101,0.20965750077487819
15,159,0.11160288643562996,0.7844985398384562,402.0641651215928,0.04797674695073203,62.12409010090826,0.04995624548735227,0.4494238776820789,0.25380143644371544,0.07173524859162059,0.055,0.034,0.0248,0.055,3.4168249555499544,3.4168249555499544,0.8518702529659773,0,0.9870466473835529,,,,5209.041150199239,40.161156400281264,0.0,0.0,5249.202306599521,0.1981711982660398
16,160,0.12688614427108477,0.9211141035679058,460.84346964727325,0.050240652067753695,65.32579162794455,0.050172972541373984,0.26895417921594994,0.2581551001302956,0.07754013350706075,0.055,0.034,0.0248,0.05499999999999999,3.59291853953695,3.59291853953695,0.8624326621570909,0,0.9878996083628284,,,,5208.883978682992,40.16757839918917,0.0,0.0,5249.051557082182,0.1760935839869958
17,161,0.14426473132592013,0.9912790351232286,522.0806127186909,0.05263137802435864,68.3633747221736,0.049171014317933276,0.167342835201378,0.26275265004684356,0.08367020006245805,0.055,0.034,0.024385537448301433,0.055,3.759985609719548,3.759985609719548,0.8640345150320998,0,0.9886651475101162,,,,5208.736999301209,40.17520466889024,0.0,0.0,5248.912203970099,0.16706707018259814
18,162,0.16387262888867038,1.0152933563583681,587.4134918946403,0.05529737532567888,71.4370065711041,0.04776519932186619,0.11105866097749233,0.26787956793399786,0.0905060905786638,0.055,0.034,0.023289590625899817,0.055,3.9290353614107256,3.9290353614107256,0.8605810034210382,0,0.9893252435296419,,,,5208.5881956194735,40.183026698749764,0.0,0.0,5248.771222318223,0.1690497516911775
19,163,0.1858023799469373,0.9855654991310353,667.6560263672682,0.05835479921344888,75.17682165816643,0.04593365285833113,0.07373071692925899,0.2737592292566325,0.09834563900884327,0.055,0.034,0.022155135010252475,0.055,4.134725191199154,4.134725191199154,0.8516046866072041,0,0.98986484789267,,,,5208.4013303595475,40.189463096500575,0.0,0.0,5248.590793456048,0.20568982978842798
20,164,0.21008933513051625,1.6217583613731288,770.3306282537851,0.06195886953927287,78.56755778234727,0.05355710720629817,0.09089452737723859,0.2806901337293709,0.10758684497249454,0.055,0.034,0.020952984315364125,0.055,4.3212156780291,4.3212156780291,0.8880223144342733,0,0.990481678508341,,,,5208.234256910232,40.19653371279932,0.0,0.0,5248.4307906230315,0.18649048682994623
